Entity,Year,Population,Age range,5 or under,5 to 14,15 to 24,25 to 64,65 or over
World,1982,1043539195,5 to 14,,,,,
World,1983,1048190950,5 to 14,,,,,
World,1984,1051780587,5 to 14,,,,,
World,1985,1055226288,5 to 14,,,,,
World,1986,1060767138,5 to 14,,,,,
World,1987,1068509868,5 to 14,,,,,
World,1988,1078585568,5 to 14,,,,,
World,1989,1090883734,5 to 14,,,,,
World,1990,1104547080,5 to 14,,,,,
World,1991,1120857370,5 to 14,,,,,
World,1992,1140953306,5 to 14,,,,,
World,1993,1163142626,5 to 14,,,,,
World,1994,1184737333,5 to 14,,,,,
World,1995,1203031497,5 to 14,,,,,
World,1996,1220479501,5 to 14,,,,,
World,1997,1232147202,5 to 14,,,,,
World,1998,1237796821,5 to 14,,,,,
World,1999,1238353202,5 to 14,,,,,
World,2000,1235652905,5 to 14,,,,,
World,2001,1231698910,5 to 14,,,,,
World,2002,1226525960,5 to 14,,,,,
World,2003,1221244140,5 to 14,,,,,
World,2004,1217002298,5 to 14,,,,,
World,2005,1213815364,5 to 14,,,,,
World,2006,1212393926,5 to 14,,,,,
World,2007,1213432466,5 to 14,,,,,
World,2008,1216357699,5 to 14,,,,,
World,2009,1220279832,5 to 14,,,,,
World,2010,1224526945,5 to 14,,,,,
World,2011,1229694627,5 to 14,,,,,
World,2012,1236207564,5 to 14,,,,,
World,2013,1243818256,5 to 14,,,,,
World,2014,1252146241,5 to 14,,,,,
World,2015,1260652054,5 to 14,,,,,
World,2016,1270085714,5 to 14,,,,,
World,2017,1279720725,5 to 14,,,,,
World,2018,1289142086,5 to 14,,,,,
World,2019,1297906548,5 to 14,,,,,
World,2020,1305706836,5 to 14,,,,,
World,1950,462383852,15 to 24,,,,,
World,1951,467508834,15 to 24,,,,,
World,1952,472601742,15 to 24,,,,,
World,1953,477846806,15 to 24,,,,,
World,1954,483054184,15 to 24,,,,,
World,1955,488007574,15 to 24,,,,,
World,1956,490714166,15 to 24,,,,,
World,1957,493974720,15 to 24,,,,,
World,1958,497617181,15 to 24,,,,,
World,1959,501809815,15 to 24,,,,,
World,1960,506969069,15 to 24,,,,,
World,1961,513370484,15 to 24,,,,,
World,1962,520255118,15 to 24,,,,,
World,1963,528783643,15 to 24,,,,,
World,1964,540623041,15 to 24,,,,,
World,1965,556604206,15 to 24,,,,,
World,1966,574296020,15 to 24,,,,,
World,1967,596323492,15 to 24,,,,,
World,1968,621049808,15 to 24,,,,,
World,1969,645903831,15 to 24,,,,,
World,1970,669319578,15 to 24,,,,,
World,1971,690640999,15 to 24,,,,,
World,1972,710828491,15 to 24,,,,,
World,1973,729763071,15 to 24,,,,,
World,1974,747729591,15 to 24,,,,,
World,1975,765045983,15 to 24,,,,,
World,1976,781062765,15 to 24,,,,,
World,1977,796282698,15 to 24,,,,,
